section_id,title,status,latest_date,latest_run_ids,summary,risks,next_checks
01,01_执行摘要,OK,2026-04-24,167,"当前已识别到的最新报告日为 2026-04-24。 最新运行可追踪到 run_id=167。 本章节已汇总 18 个来源，覆盖主题：daily_ops, human_review, run_summary。",,人工抽样复核本章节结论。
02,02_今日关键结论,WARN,2026-04-23,166|167|215,"当前已识别到的最新报告日为 2026-04-23。 最新运行可追踪到 run_id=215。 本章节已汇总 23 个来源，覆盖主题：alert, human_review, risk, run_summary。 本章节当前结论需优先人工复核。 由于关联告警来源，应重点关注异常、阻塞项或缺口信号。 由于关联风控来源，应重点关注 reject / adjust / WARN 的影响。",本章节当前结论需人工复核，不应直接视为稳定最终结论。,人工抽样复核本章节结论。
03,03_数据更新水位,OK,2026-04-24,167,"当前已识别到的最新报告日为 2026-04-24。 最新运行可追踪到 run_id=167。 本章节已汇总 13 个来源，覆盖主题：audit, daily_ops, run_summary。",,确认最近一个已收盘交易日的数据水位是否完整。
04,04_数据源与备用源使用情况,OK,2026-04-24,,"当前已识别到的最新报告日为 2026-04-24。 当前未识别到可直接用于说明状态的 run_id。 本章节已汇总 15 个来源，覆盖主题：audit, daily_ops, env。",,人工抽样复核本章节结论。
05,05_数据质量与缺口,WARN,2026-04-24,,"当前已识别到的最新报告日为 2026-04-24。 当前未识别到可直接用于说明状态的 run_id。 本章节已汇总 12 个来源，覆盖主题：alert, audit, daily_ops。 本章节当前结论需优先人工复核。 由于关联告警来源，应重点关注异常、阻塞项或缺口信号。",本章节当前结论需人工复核，不应直接视为稳定最终结论。|数据质量与缺口章节已关联 alert 来源，说明仍存在待人工确认的异常或缺口信号。,人工抽样复核本章节结论。
06,06_指标/因子/特征/标签状态,WARN,2026-04-24,,"M3 定义层已落库，且最近 bootstrap_m3_* runs 存在成功记录，但当前 readiness 事实仍明显未就绪：total_bar_rows=2195538，matched_forward_factor_rows=669995，missing_forward_factor_rows=1525543，adj_close_ready=20629，ret_20d_ready=0。当前应解释为 definitions ready、runtime/readiness blocked。 当前来源主题：m3_docs, m9_bridge。",本章节当前结论需人工复核，不应直接视为稳定最终结论。|M3 定义层已落库，且最近 bootstrap_m3_* runs 存在成功记录，但当前 readiness 事实仍明显未就绪：total_bar_rows=2195538，matched_forward_factor_rows=669995，missing_forward_factor_rows=1525543，adj_close_ready=20629，ret_20d_ready=0。当前应解释为 definitions ready、runtime/readiness blocked。,检查 M3 definition 是否完整、recent M3 runs 是否成功，以及 snapshot/readiness 事实是否仍为空。
07,07_策略与信号状态,OK,2026-04-24,,"M4 策略定义、版本与 signal 运行事实均已识别，07_策略与信号状态 可基于实际 signal facts 解释。 当前来源主题：m4_docs, m9_bridge。",M4 策略定义、版本与 signal 运行事实均已识别，07_策略与信号状态 可基于实际 signal facts 解释。,检查 M4 strategy metadata 是否 ready，以及 strategy_signal 运行事实是否仍为 0。
08,08_回测与研究结果,PASS_WITH_WARN,2026-04-24,61|80|83|84|86|87|89,"M5 已从 placeholder / skeleton 升级为真实 backtrader 执行：run_id=454，backtest_request_id=23，result_status=SUCCESS，execution_mode=SNAPSHOT_STATIC_BASKET_P1，final_equity=11930087.899841，total_return=0.19300879，trade_count=30，trading_days=73。当前唯一核心限制是 SNAPSHOT_STATIC_BASKET_P1；这是真实执行结果，但不是历史信号逐日重放。 该 WARN 为当前 M5.10 P1 已接受口径；M5.11 再推进历史信号逐日重放。 当前来源主题：backtest, m5_docs, m9_bridge。 可追踪 run_id：61, 80, 83, 84, 86, 87, 89。",M5.10 当前已完成真实 backtrader 执行，但仍使用 SNAPSHOT_STATIC_BASKET_P1；这是 P1 可接受告警，不是失败。,复核最新 backtest 的区间、策略版本、关键指标，并区分 latest run 与历史相关 run。
09,09_Paper Trading 交易链路,OK,2026-04-24,154,"当前已识别到的最新报告日为 2026-04-24。 最新运行可追踪到 run_id=154。 本章节已汇总 11 个来源，覆盖主题：daily_ops, paper_chain。",,核对目标仓位、订单、成交、持仓快照是否闭环。
10,10_风控与目标仓位调整,WARN,2026-04-23,154|166|215,"当前已识别到的最新报告日为 2026-04-23。 最新运行可追踪到 run_id=215。 本章节已汇总 23 个来源，覆盖主题：human_review, paper_chain, risk。 本章节当前结论需优先人工复核。 由于关联风控来源，应重点关注 reject / adjust / WARN 的影响。",本章节当前结论需人工复核，不应直接视为稳定最终结论。,重点检查 reject / adjust / WARN 的原因和影响。
11,11_组合持仓与盈亏,OK,2026-04-23,154,"当前已识别到的最新报告日为 2026-04-23。 最新运行可追踪到 run_id=154。 本章节已汇总 10 个来源，覆盖主题：paper_chain, portfolio_snapshot。",,人工抽样复核本章节结论。
12,12_调度、告警、审计与环境,WARN,2026-04-23,,"当前已识别到的最新报告日为 2026-04-23。 当前未识别到可直接用于说明状态的 run_id。 本章节已汇总 18 个来源，覆盖主题：alert, audit, env, scheduler_registration。 本章节当前结论需优先人工复核。 由于关联告警来源，应重点关注异常、阻塞项或缺口信号。",本章节当前结论需人工复核，不应直接视为稳定最终结论。,检查 scheduler、audit、env、alert 是否存在阻塞项。
13,13_与上一报告日对比,OK,2026-04-24,167,"当前已识别到对比窗口：latest=2026-04-24，previous=2026-04-23。 上一报告日已可通过当前章节来源或历史 platform overview 产物补出。 本章节可以在报告日维度上形成基础的日间比较。 本章节已汇总 11 个来源，覆盖主题：daily_ops, portfolio_snapshot, run_summary。",,确认是否已保留上一日报告产物；若仍缺失，则补齐上一报告日 platform overview 输入或快照。
14,14_人工复核建议,OK,2026-04-23,166|215,"当前已识别到的最新报告日为 2026-04-23。 最新运行可追踪到 run_id=215。 本章节已汇总 19 个来源，覆盖主题：alert, human_review, risk。 由于关联告警来源，应重点关注异常、阻塞项或缺口信号。 由于关联风控来源，应重点关注 reject / adjust / WARN 的影响。",,优先处理 CRITICAL/WARN，再处理信息性提醒。
15,15_来源文件与 run_id 索引,OK,2026-04-24,84|86|87|89|154|166|167|215,"当前已识别到的最新报告日为 2026-04-24。 最新运行可追踪到 run_id=215。 本章节已汇总 187 个来源，覆盖主题：alert, api, audit, backtest, daily_ops, env, human_review, m3_docs, m4_docs, m5_docs, m6_docs, m7_docs, m8_docs, m9_bridge, paper_chain, platform_overview, platform_overview_check, portfolio_snapshot, risk, run_summary, scheduler, scheduler_registration。 由于关联告警来源，应重点关注异常、阻塞项或缺口信号。 由于关联风控来源，应重点关注 reject / adjust / WARN 的影响。",,人工抽样复核本章节结论。
